Index,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Average,34152.84206,37378.47995,40145.58739,40570.66793,30414.14082,20574.63664,13460.07325,8424.176305,3975.020074,1161.067304,-1179.396417,-2354.162361,-4208.514846,-4025.799763,-4785.40618,-5174.180695,-5472.771386,-5999.087656,-5739.096486,-6620.485862
share_2020,0.841811185,0.921317835,0.989522466,1,0.749658371,0.507130833,0.331768589,0.207642041,0.097977684,0.028618393,-0.029070175,-0.058026217,-0.103732945,-0.099229319,-0.117952364,-0.127535014,-0.134894781,-0.147867609,-0.141459256,-0.163184049
